bench-name,cpp-time,cpp-memo,mvs-time,mvs-memo,swift-time,swift-memo,scala-time,scala-memo
gen144,11407967.5,0.0,3444480.0,0.0,2697212.0,0.0,2697479.0,0.0
gen145,81926.5,0.0,203776.0,0.0,274949.5,0.0,898920.5,0.0
gen146,123302.5,0.0,326656.0,0.0,446412.5,0.0,899664.5,0.0
gen147,18375583.0,0.0,6717184.0,0.0,1510719.5,0.0,2302176.0,0.0
gen148,214413694.5,0.0,105103872.0,0.0,42875206.5,0.0,22985926.0,0.0
gen149,27207265.5,0.0,1589120.0,0.0,5447.5,0.0,96780.5,0.0
gen151,263116465.5,0.0,32250880.0,0.0,24723586.0,0.0,10959173.0,0.0
gen152,12478213.0,0.0,1414912.0,0.0,569172.0,0.0,914404.5,0.0
gen153,2279006.0,0.0,2051456.0,0.0,2082876.0,0.0,5298926.0,0.0
gen154,1274786.5,0.0,594688.0,0.0,393582.0,0.0,1673081.0,0.0
gen155,378636482.0,0.0,72980480.0,0.0,48081814.5,0.0,16018875.0,0.0
gen156,732260514.0,0.0,51000704.0,0.0,26450240.5,0.0,22591767.0,0.0
gen157,508106314.0,0.0,39267968.0,0.0,21773077.0,0.0,10767242.5,0.0
gen158,7101864.5,0.0,9764224.0,0.0,9493521.0,0.0,12438845.5,0.0
gen159,992683503.5,0.0,95332864.0,0.0,48413505.0,0.0,29209913.0,0.0
gen160,27301530.5,0.0,445696.0,0.0,5531.5,0.0,60211.0,0.0
gen161,760561.5,0.0,256.0,0.0,5451.0,0.0,49351.5,0.0
gen162,75731001.0,0.0,10198016.0,0.0,10710113.5,0.0,7947991.0,0.0
gen163,135189.5,0.0,256128.0,0.0,268255.0,0.0,1364893.0,0.0
gen164,66262405.0,0.0,7222400.0,0.0,4187199.0,0.0,4240397.0,0.0
gen165,263925064.5,0.0,46048128.0,0.0,31917930.0,0.0,25928944.5,0.0
gen166,11449280.0,0.0,1959168.0,0.0,1026301.0,0.0,1529255.0,0.0
gen167,9076112.5,0.0,3095936.0,0.0,223702.0,0.0,1950581.5,0.0
gen168,397927.0,0.0,793600.0,0.0,616647.0,0.0,2460947.5,0.0
gen169,12842055.5,0.0,82688.0,0.0,5509.5,0.0,58197.0,0.0
gen170,565750.5,0.0,1378688.0,0.0,1569166.5,0.0,4427852.0,0.0
gen171,8887690.0,0.0,5368576.0,0.0,3279206.0,0.0,5737901.0,0.0
gen172,459971539.0,0.0,96787840.0,0.0,71062589.5,0.0,35050496.0,0.0
gen173,30284131.0,0.0,6716416.0,0.0,5909109.5,0.0,5949345.5,0.0
gen174,4933489.5,0.0,1481472.0,0.0,1003855.5,0.0,2055076.5,0.0
gen175,209.0,0.0,256.0,0.0,1164.0,0.0,3593.5,0.0
gen176,297102185.5,0.0,76855424.0,0.0,11898045.5,0.0,6372116.0,0.0
gen177,69735842.5,0.0,7251584.0,0.0,3686003.0,0.0,2035952.0,0.0
gen178,45996399.5,0.0,21240192.0,0.0,18037336.5,0.0,8870915.0,0.0
gen179,183544738.5,0.0,56301056.0,0.0,27283016.0,0.0,17585887.0,0.0
gen180,9685125.5,0.0,2689024.0,0.0,1891903.0,0.0,3926848.0,0.0
gen181,1978443.0,0.0,207360.0,0.0,409353.5,0.0,1118867.0,0.0
gen182,3300294.0,0.0,1531136.0,0.0,1187.0,0.0,3675123.0,0.0
gen184,207597607.0,0.0,24288896.0,0.0,11926892.0,0.0,12482027.5,0.0
gen185,5660566.5,0.0,1226880.0,0.0,1282299.0,0.0,1209947.5,0.0
gen186,35604373.5,0.0,12321920.0,0.0,8592384.0,0.0,5878105.5,0.0
gen187,477182263.0,0.0,15052672.0,0.0,11418654.0,0.0,7071982.0,0.0
gen188,1335367.5,0.0,1306496.0,0.0,1522336.5,0.0,2798996.5,0.0
gen189,105680033.5,0.0,33673344.0,0.0,22424966.5,0.0,13142219.5,0.0
